ticker,company,sector,peRatio,fwdPERatio,epsAndDivident,roa,roe,debtEq,marketCapBillions,weightedFactors,stockRank,Beta,riskProfileBeta
A,Agilent Technologies Inc.,Healthcare,0.781,0.837,0.176,0.682,0.48,0.311,0.511,0.55300,102,1.28,Moderate
AA,Alcoa Corporation,Basic Materials,0.742,0.257,0.734,0.055,0.063,0.194,0.132,0.33170,323,0,Conservative
AAL,American Airlines Group Inc.,Services,0.134,0.065,0.751,0.404,0.936,0.968,0.545,0.52420,127,0.99,Moderate
AAP,Advance Auto Parts Inc.,Services,0.281,0.234,0.037,0.422,0.418,0.238,0.067,0.26320,404,0.94,Moderate
AAPL,Apple Inc.,Consumer Goods,0.384,0.347,0.275,0.882,0.843,0.541,1,0.70895,16,1.2,Moderate
ABBV,AbbVie Inc.,Healthcare,0.505,0.267,0.442,0.759,0.98,0.964,0.93,0.71375,15,1.53,Aggressive
ABC,AmerisourceBergen Corporation,Services,0.373,0.174,0.13,0.269,0.851,0.781,0.42,0.38650,262,0.96,Moderate
ABT,Abbott Laboratories,Healthcare,0.867,0.587,0.765,0.281,0.174,0.49,0.9,0.57115,91,1.57,Aggressive
ACN,Accenture plc,Technology,0.64,0.615,0.42,0.952,0.906,0,0.884,0.85330,3,1.05,Moderate
ADBE,Adobe Systems Incorporated,Technology,0.918,0.904,0.855,0.849,0.63,0.186,0.876,0.88095,1,1.04,Moderate
ADI,Analog Devices Inc.,Technology,0.871,0.543,0.551,0.373,0.232,0,0.664,0.56845,90,1.31,Moderate
ADM,Archer0Daniels0Midland Company,Consumer Goods,0.293,0.259,0.585,0.365,0.246,0.281,0.525,0.40525,234,1.12,Moderate
ADP,Automatic Data Processing Inc.,Technology,0.692,0.835,0.468,0.426,0.88,0.345,0.777,0.67940,20,0.89,Moderate
ADS,Alliance Data Systems Corporation,Services,0.561,0.085,0.428,0.216,0.763,0.994,0.269,0.39695,245,1.79,Aggressive
ADSK,Autodesk Inc.,Technology,0,0.988,0.835,0.865,0.968,0.956,0.617,0.65305,30,1.96,Aggressive
AEE,Ameren Corporation,Utilities,0.478,0.64,0.378,0.305,0.301,0.706,0.363,0.32470,315,0.4,Conservative
AEP,American Electric Power Company Inc.,Utilities,0.934,0.559,0.791,0.166,0.126,0.716,0.696,0.48560,155,0.29,Conservative
AES,The AES Corporation,Utilities,1,0.047,0.882,0.234,0.74,0.974,0.085,0.53950,103,1.24,Moderate
